date,type,title,people,affiliation,details,day,month,year
2027-11-08T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",8,NOV,2027
2027-06-22T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",22,JUN,2027
2027-06-08T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",8,JUN,2027
2027-11-01T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",1,NOV,2027
2027-11-20T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",20,NOV,2027
2027-06-20T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",20,JUN,2027
2027-05-20T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",20,MAY,2027
2026-11-27T00:00:00Z,Colloquium,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",27,NOV,2026
2026-10-27T00:00:00Z,Course,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",27,OCT,2026
2026-09-18T00:00:00Z,Workshop,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",18,SEP,2026
2026-09-20T00:00:00Z,Workshop,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",20,SEP,2026
2026-10-31T00:00:00Z,Course,What even is redundancy and deficiency?,"Name, Name",University of Vienna · University of Graz,"**Time:** 09:00-17:00  
**Location:** Seminar Room 14, University of Vienna

This workshop examines the interaction between redundancy and deficiency across different linguistic domains.

[View programme](events/programmes/workshop-name.pdf){.event-link}
",31,OCT,2026
